resume_text,gender,label
Fresh graduate seeking opportunities in AI research.,male,0
Marketing specialist trained in digital campaigns.,female,1
Project manager experienced in agile methodologies.,male,0
Senior HR manager with 10 years of recruitment expertise.,male,0
Marketing specialist trained in digital campaigns.,male,1
Fresh graduate seeking opportunities in AI research.,female,0
Entry-level data analyst with internship experience.,male,0
Marketing specialist trained in digital campaigns.,male,1
Entry-level data analyst with internship experience.,male,0
Project manager experienced in agile methodologies.,female,0
Senior HR manager with 10 years of recruitment expertise.,male,0
Experienced software engineer skilled in Python and ML.,male,0
Senior HR manager with 10 years of recruitment expertise.,male,1
Marketing specialist trained in digital campaigns.,male,1
Entry-level data analyst with internship experience.,female,1
Entry-level data analyst with internship experience.,male,1
Fresh graduate seeking opportunities in AI research.,female,1
Entry-level data analyst with internship experience.,female,0
Fresh graduate seeking opportunities in AI research.,female,1
Project manager experienced in agile methodologies.,male,0
Experienced software engineer skilled in Python and ML.,female,1
Marketing specialist trained in digital campaigns.,male,1
Fresh graduate seeking opportunities in AI research.,female,0
Experienced software engineer skilled in Python and ML.,female,0
Entry-level data analyst with internship experience.,female,0
Entry-level data analyst with internship experience.,female,0
Experienced software engineer skilled in Python and ML.,female,1
Entry-level data analyst with internship experience.,female,1
Project manager experienced in agile methodologies.,female,0
Project manager experienced in agile methodologies.,female,0
Experienced software engineer skilled in Python and ML.,male,0
Fresh graduate seeking opportunities in AI research.,male,0
Fresh graduate seeking opportunities in AI research.,female,0
Experienced software engineer skilled in Python and ML.,female,0
Fresh graduate seeking opportunities in AI research.,female,1
Fresh graduate seeking opportunities in AI research.,male,0
Project manager experienced in agile methodologies.,female,0
Fresh graduate seeking opportunities in AI research.,male,1
Senior HR manager with 10 years of recruitment expertise.,male,0
Marketing specialist trained in digital campaigns.,male,1
Entry-level data analyst with internship experience.,male,1
Senior HR manager with 10 years of recruitment expertise.,male,0
Fresh graduate seeking opportunities in AI research.,female,0
Project manager experienced in agile methodologies.,female,0
Experienced software engineer skilled in Python and ML.,female,0
Fresh graduate seeking opportunities in AI research.,female,0
Project manager experienced in agile methodologies.,female,1
Marketing specialist trained in digital campaigns.,male,0
